B_4K	rho_4K	B_40K	rho_40K	B_80K	rho_80K	B_S1_30K	rho_S1_30K
	 nan	4.4692	1.0019	 4.5336e+00	 1.0006e+00	14.23	 1.0253e+00
	 nan	4.4733	1.0019	 4.5378e+00	 1.0006e+00	14.242	 1.0253e+00
	 nan	4.4773	1.0019	 4.5419e+00	 1.0005e+00	14.255	 1.0253e+00
	 nan	4.4814	1.0019	 4.5461e+00	 1.0005e+00	14.267	 1.0254e+00
	 nan	4.4855	1.0019	 4.5503e+00	 1.0005e+00	14.279	 1.0253e+00
	 nan	4.4896	1.0019	 4.5544e+00	 1.0004e+00	14.291	 1.0254e+00
	 nan	4.4937	1.002	 4.5586e+00	 1.0004e+00	14.304	 1.0254e+00
	 nan	4.4978	1.0019	 4.5628e+00	 1.0004e+00	14.316	 1.0254e+00
	 nan	4.502	1.002	 4.5669e+00	 1.0003e+00	14.328	 1.0254e+00
	 nan	4.5061	1.002	 4.5711e+00	 1.0003e+00	14.341	 1.0254e+00
	 nan	4.5102	1.002	 4.5753e+00	 1.0003e+00	14.353	 1.0254e+00
	 nan	4.5143	1.002	 4.5795e+00	 1.0002e+00	14.365	 1.0254e+00
	 nan	4.5184	1.0019	 4.5837e+00	 1.0002e+00	14.378	 1.0255e+00
	 nan	4.5226	1.002	 4.5879e+00	 1.0002e+00	14.39	 1.0254e+00
	 nan	4.5267	1.0019	 4.5921e+00	 1.0002e+00	14.403	 1.0255e+00
	 nan	4.5308	1.0019	 4.5963e+00	 1.0001e+00	14.415	 1.0255e+00
	 nan	4.535	1.0019	 4.6005e+00	 1.0001e+00	14.427	 1.0256e+00
	 nan	4.5391	1.0019	 4.6047e+00	 1.0001e+00	14.44	 1.0256e+00
	 nan	4.5433	1.0019	 4.6089e+00	 1.0001e+00	14.452	 1.0256e+00
	 nan	4.5474	1.0018	 4.6131e+00	 1.0001e+00	14.465	 1.0257e+00
	 nan	4.5516	1.0018	 4.6173e+00	 1.0001e+00	14.477	 1.0257e+00
	 nan	4.5557	1.0018	 4.6215e+00	 1.0001e+00	14.49	 1.0259e+00
	 nan	4.5599	1.0018	 4.6257e+00	 1.0002e+00	14.502	 1.0259e+00
	 nan	4.5641	1.0017	 4.6300e+00	 1.0002e+00	14.514	 1.0260e+00
	 nan	4.5682	1.0017	 4.6342e+00	 1.0002e+00	14.527	 1.0260e+00
	 nan	4.5724	1.0017	 4.6384e+00	 1.0002e+00	14.54	 1.0261e+00
	 nan	4.5766	1.0017	 4.6427e+00	 1.0002e+00	14.552	 1.0262e+00
	 nan	4.5808	1.0017	 4.6469e+00	 1.0003e+00	14.565	 1.0262e+00
	 nan	4.5849	1.0017	 4.6512e+00	 1.0003e+00	14.577	 1.0264e+00
	 nan	4.5891	1.0017	 4.6554e+00	 1.0003e+00	14.59	 1.0264e+00
	 nan	4.5933	1.0017	 4.6597e+00	 1.0003e+00	14.602	 1.0265e+00
	 nan	4.5975	1.0017	 4.6639e+00	 1.0004e+00	14.615	 1.0266e+00
	 nan	4.6017	1.0017	 4.6682e+00	 1.0004e+00	14.627	 1.0266e+00
	 nan	4.6059	1.0017	 4.6724e+00	 1.0004e+00	14.64	 1.0267e+00
	 nan	4.6101	1.0018	 4.6767e+00	 1.0004e+00	14.652	 1.0267e+00
	 nan	4.6143	1.0018	 4.6810e+00	 1.0004e+00	14.665	 1.0269e+00
	 nan	4.6185	1.0018	 4.6853e+00	 1.0005e+00	14.678	 1.0269e+00
	 nan	4.6227	1.0018	 4.6895e+00	 1.0005e+00	14.69	 1.0270e+00
	 nan	4.6269	1.0019	 4.6938e+00	 1.0005e+00	14.703	 1.0270e+00
	 nan	4.6312	1.0019	 4.6981e+00	 1.0005e+00	14.715	 1.0271e+00
	 nan	4.6354	1.0019	 4.7024e+00	 1.0005e+00	14.728	 1.0272e+00
	 nan	4.6396	1.002	 4.7067e+00	 1.0005e+00	14.741	 1.0272e+00
	 nan	4.6439	1.002	 4.7111e+00	 1.0005e+00	14.753	 1.0274e+00
	 nan	4.6481	1.002	 4.7154e+00	 1.0005e+00	14.766	 1.0274e+00
	 nan	4.6523	1.002	 4.7197e+00	 1.0005e+00	14.779	 1.0275e+00
	 nan	4.6566	1.002	 4.7240e+00	 1.0005e+00	14.791	 1.0275e+00
	 nan	4.6608	1.0021	 4.7283e+00	 1.0005e+00	14.804	 1.0275e+00
	 nan	4.6651	1.0021	 4.7326e+00	 1.0005e+00	14.817	 1.0276e+00
	 nan	4.6693	1.0021	 4.7370e+00	 1.0005e+00	14.829	 1.0276e+00
	 nan	4.6736	1.0021	 4.7413e+00	 1.0004e+00	14.842	 1.0277e+00
	 nan	4.6779	1.0022	 4.7457e+00	 1.0004e+00	14.855	 1.0276e+00
	 nan	4.6821	1.0022	 4.7500e+00	 1.0004e+00	14.868	 1.0277e+00
	 nan	4.6864	1.0022	 4.7543e+00	 1.0004e+00	14.88	 1.0277e+00
	 nan	4.6907	1.0022	 4.7587e+00	 1.0004e+00	14.893	 1.0277e+00
	 nan	4.695	1.0022	 4.7630e+00	 1.0004e+00	14.906	 1.0278e+00
	 nan	4.6993	1.0022	 4.7674e+00	 1.0004e+00	14.919	 1.0278e+00
	 nan	4.7035	1.0022	 4.7718e+00	 1.0003e+00	14.932	 1.0279e+00
	 nan	4.7078	1.0022	 4.7761e+00	 1.0003e+00	14.944	 1.0278e+00
	 nan	4.7121	1.0022	 4.7805e+00	 1.0003e+00	14.957	 1.0279e+00
	 nan	4.7164	1.0022	 4.7848e+00	 1.0003e+00	14.97	 1.0279e+00
	 nan	4.7207	1.0021	 4.7892e+00	 1.0003e+00	14.983	 1.0280e+00
	 nan	4.725	1.0021	 4.7936e+00	 1.0004e+00	14.996	 1.0280e+00
	 nan	4.7293	1.0021	 4.7980e+00	 1.0004e+00	15.009	 1.0280e+00
	 nan	4.7336	1.002	 4.8023e+00	 1.0004e+00	15.021	 1.0281e+00
	 nan	4.738	1.002	 4.8067e+00	 1.0004e+00	15.034	 1.0281e+00
	 nan	4.7423	1.0019	 4.8111e+00	 1.0004e+00	15.047	 1.0282e+00
	 nan	4.7466	1.0019	 4.8155e+00	 1.0004e+00	15.06	 1.0282e+00
	 nan	4.7509	1.0019	 4.8199e+00	 1.0004e+00	15.073	 1.0283e+00
	 nan	4.7553	1.0019	 4.8243e+00	 1.0004e+00	15.086	 1.0284e+00
	 nan	4.7596	1.0019	 4.8287e+00	 1.0004e+00	15.099	 1.0284e+00
