B_4K	rho_4K	B_40K	rho_40K	B_80K	rho_80K	B_Nd_30K	rho_Nd_30K
14.787	 9.9123e-01	0.11814	1.0006	 1.2006e-01	 1.0001e+00	 8.4353e+01	 1.1531e+00
14.798	 9.9216e-01	0.11825	0.99956	 1.2021e-01	 1.0001e+00	 8.4346e+01	 1.1536e+00
14.808	 9.9169e-01	0.11837	1.0004	 1.2036e-01	 1.0001e+00	 8.4339e+01	 1.1538e+00
14.819	 9.9163e-01	0.11849	0.99996	 1.2052e-01	 1.0001e+00	 8.4332e+01	 1.1538e+00
14.83	 9.9408e-01	0.1186	1.0	 1.2067e-01	 1.0001e+00	 8.4325e+01	 1.1535e+00
14.84	 9.9274e-01	0.11872	1.0007	 1.2082e-01	 9.9997e-01	 8.4317e+01	 1.1531e+00
14.851	 9.9582e-01	0.11883	0.99976	 1.2097e-01	 9.9993e-01	 8.4310e+01	 1.1529e+00
14.862	 9.9419e-01	0.11895	1.0007	 1.2112e-01	 9.9985e-01	 8.4303e+01	 1.1529e+00
14.872	 9.9570e-01	0.11906	0.99939	 1.2128e-01	 9.9983e-01	 8.4295e+01	 1.1531e+00
14.883	 9.9536e-01	0.11918	1.0005	 1.2143e-01	 9.9983e-01	 8.4288e+01	 1.1536e+00
14.894	 9.9646e-01	0.11929	0.99966	 1.2158e-01	 9.9993e-01	 8.4281e+01	 1.1541e+00
14.904	 9.9663e-01	0.11941	1.0001	 1.2174e-01	 1.0001e+00	 8.4273e+01	 1.1544e+00
14.915	 9.9582e-01	0.11952	1.0001	 1.2189e-01	 1.0001e+00	 8.4266e+01	 1.1544e+00
14.926	 9.9791e-01	0.11963	0.99976	 1.2204e-01	 1.0002e+00	 8.4258e+01	 1.1541e+00
14.936	 9.9698e-01	0.11975	1.0004	 1.2220e-01	 1.0001e+00	 8.4250e+01	 1.1538e+00
14.947	 9.9989e-01	0.11986	0.99956	 1.2236e-01	 9.9999e-01	 8.4243e+01	 1.1535e+00
14.958	 9.9844e-01	0.11997	1.0014	 1.2251e-01	 9.9989e-01	 8.4235e+01	 1.1536e+00
14.969	 9.9931e-01	0.12009	0.99979	 1.2266e-01	 9.9987e-01	 8.4227e+01	 1.1538e+00
14.979	 9.9855e-01	0.1202	1.0005	 1.2282e-01	 9.9985e-01	 8.4219e+01	 1.1543e+00
14.99	 9.9954e-01	0.12032	0.99996	 1.2298e-01	 9.9989e-01	 8.4211e+01	 1.1548e+00
15.001	 1.0011e+00	0.12044	1.0002	 1.2313e-01	 9.9991e-01	 8.4204e+01	 1.1550e+00
15.012	 1.0001e+00	0.12055	1.0005	 1.2329e-01	 9.9993e-01	 8.4196e+01	 1.1550e+00
15.022	 1.0023e+00	0.12066	1.0002	 1.2344e-01	 9.9997e-01	 8.4188e+01	 1.1547e+00
15.033	 1.0005e+00	0.12078	1.0007	 1.2360e-01	 9.9997e-01	 8.4180e+01	 1.1543e+00
15.044	 1.0034e+00	0.12089	0.99956	 1.2375e-01	 9.9999e-01	 8.4172e+01	 1.1541e+00
15.055	 1.0036e+00	0.121	1.0007	 1.2391e-01	 9.9999e-01	 8.4163e+01	 1.1540e+00
15.065	 1.0041e+00	0.12111	0.99946	 1.2406e-01	 1.0000e+00	 8.4155e+01	 1.1543e+00
15.076	 1.0032e+00	0.12122	1.0002	 1.2422e-01	 1.0001e+00	 8.4147e+01	 1.1548e+00
15.087	 1.0040e+00	0.12134	1.0002	 1.2437e-01	 1.0001e+00	 8.4139e+01	 1.1552e+00
15.098	 1.0045e+00	0.12145	1.0007	 1.2454e-01	 1.0001e+00	 8.4131e+01	 1.1555e+00
15.109	 1.0023e+00	0.12157	1.0005	 1.2470e-01	 1.0001e+00	 8.4122e+01	 1.1555e+00
15.12	 1.0047e+00	0.12168	0.99943	 1.2485e-01	 1.0000e+00	 8.4114e+01	 1.1552e+00
15.13	 1.0033e+00	0.12179	1.0007	 1.2501e-01	 9.9997e-01	 8.4105e+01	 1.1549e+00
15.141	 1.0078e+00	0.1219	0.99946	 1.2517e-01	 1.0000e+00	 8.4097e+01	 1.1547e+00
15.152	 1.0065e+00	0.12202	1.0006	 1.2533e-01	 1.0000e+00	 8.4088e+01	 1.1548e+00
15.163	 1.0060e+00	0.12213	0.99956	 1.2549e-01	 1.0001e+00	 8.4080e+01	 1.1551e+00
15.174	 1.0074e+00	0.12225	1.0003	 1.2565e-01	 1.0001e+00	 8.4071e+01	 1.1557e+00
15.185	 1.0075e+00	0.12236	1.0002	 1.2580e-01	 1.0001e+00	 8.4063e+01	 1.1562e+00
